latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-20.17091,124.03751,340.26,1.09,1.04,2023-03-10,0134,T,85,6.1NRT,308.18,31.9,D
-20.17412,124.05796,331.24,1.08,1.04,2023-03-10,0134,T,73,6.1NRT,309.42,16.68,D
-20.19133,124.1073,342.21,1.08,1.04,2023-03-10,0134,T,86,6.1NRT,317.44,30.68,D
-20.20057,124.10572,343.11,1.08,1.04,2023-03-10,0134,T,88,6.1NRT,315.09,33.38,D
-20.20214,124.11587,344.29,1.08,1.04,2023-03-10,0134,T,89,6.1NRT,317.34,33.89,D
-20.09108,123.28825,324.43,1.17,1.08,2023-03-10,0134,T,31,6.1NRT,309.81,9.41,D
-20.16258,123.74052,333.09,1.12,1.05,2023-03-10,0134,T,65,6.1NRT,314.45,16.78,D
-20.16423,123.75102,334.89,1.11,1.05,2023-03-10,0134,T,67,6.1NRT,311.24,20.97,D
-20.10767,123.33067,370.63,1.17,1.07,2023-03-10,0134,T,100,6.1NRT,313.43,130.06,D
-20.10942,123.34166,350.26,1.16,1.07,2023-03-10,0134,T,94,6.1NRT,309.68,61.25,D
-20.15707,123.64387,325.51,1.13,1.06,2023-03-10,0134,T,56,6.1NRT,311.97,10.91,D
-20.15873,123.65446,347.26,1.12,1.06,2023-03-10,0134,T,91,6.1NRT,315.23,49.39,D
-20.1604,123.66508,341.18,1.12,1.06,2023-03-10,0134,T,86,6.1NRT,314.26,34.51,D
-20.22669,124.09079,330.46,1.08,1.04,2023-03-10,0134,T,48,6.1NRT,314.95,12.29,D
-20.08192,123.10616,344.67,1.2,1.09,2023-03-10,0134,T,89,6.1NRT,312.55,45.17,D
-20.08372,123.11745,329.72,1.2,1.09,2023-03-10,0134,T,49,6.1NRT,311.57,14.34,D
-20.16815,123.65284,331.55,1.12,1.06,2023-03-10,0134,T,74,6.1NRT,309.55,19.59,D
-20.16981,123.66345,328.43,1.12,1.06,2023-03-10,0134,T,52,6.1NRT,310.21,13.91,D
-20.23436,124.07902,341.7,1.08,1.04,2023-03-10,0134,T,86,6.1NRT,314.63,32.38,D
-20.23593,124.08919,337.19,1.08,1.04,2023-03-10,0134,T,71,6.1NRT,313.87,22.05,D
-20.08356,123.09978,324.59,1.2,1.09,2023-03-10,0134,T,49,6.1NRT,310.86,9.79,D
-20.08542,123.11108,339.03,1.2,1.09,2023-03-10,0134,T,84,6.1NRT,310.92,35.15,D
-20.24019,124.07201,347.56,1.08,1.04,2023-03-10,0134,T,80,6.1NRT,313.79,42.14,D
-20.25103,124.08058,347.26,1.08,1.04,2023-03-10,0134,T,85,6.1NRT,315.03,40.39,D
-20.25263,124.09074,348.96,1.08,1.04,2023-03-10,0134,T,88,6.1NRT,316.07,42.02,D
-20.25867,124.06882,327.98,1.08,1.04,2023-03-10,0134,T,64,6.1NRT,310.49,11.57,D
-20.26027,124.07899,356.36,1.08,1.04,2023-03-10,0134,T,97,6.1NRT,314.39,66.59,D
